station	 latitude	 longitude	group gcolor
A	-64.54078	-62.3734	Gerlache	yellowgreen
B	-64.82037	-64.07356	Palmer	red
C	-64.89646	-64.2025	Palmer	red
D/Q	-64.9517	-64.30869	Palmer	red
E	-65.2386	-64.19871	Grrandidier	red4
G	-65.49254	-64.547	Grandidier	red4
H	-65.0079	-66.37487	Offshore	blue
I	-67.14599	-69.55949	Offshore	blue
J	-67.78968	-68.65465	Marguerite	orange
K	-67.6584	-67.93331	Marguerite	orange
L	-67.94032	-67.6533	Marguerite	orange
M	-68.04677	-68.29948	Marguerite	orange
N/N1/R	-64.84692	-62.92976	Gerlache	yellowgreen
#N1	-64.84598	-62.93048	Gerlache	yellowgreen
O	-66.70944	-68.53136	Offshore	blue
P	-65.88616	-67.7645	Offshore	blue
#Q	-64.95231	-64.32317	Palmer	red
#R	-64.84432	-62.9425	Gerlache	yellowgreen
Palmer	-64.76666	-64.05	other	grey50
MargueriteBay	-68.3	-68.5	other	grey50
SouthernOcean -64.0	-68	other	grey50
GerlacheStrait	-64.8	-62.5	other	grey50
GrandidierChannel	-66	-66.5	other	grey50
WeddelSea	-67	-62	other	grey50
$	-64.54026667	-62.37161667	LMG1904	black
$b	-65.92601667	-66.11591667	LMG1905	black
1	-66.82891667	-67.61763333	LMG1906	black
2	-66.32821667	-66.68505	LMG1907	black
3	-67.55995	-67.28651667	LMG1908	black
4	-68.1863	-67.28063333	LMG1909	black
5	-68.61771667	-67.61066667	LMG1910	black
6	-66.70881667	-68.53253333	LMG1911	black
7	-66.17565	-66.38235	LMG1912	black
8	-65.48256667	-64.55893333	LMG1913	black
A5	-65.24933333	-64.21916667	LMG1914	black
9	-65.23848333	-64.19881667	LMG1915	black
A4	-65.17151667	-64.10883333	LMG1916	black
10	-64.94426667	-63.53236667	LMG1917	black
10.5	-64.89793333	-63.79371667	LMG1918	black
11	-64.90845	-63.68383333	LMG1919	black
12	-64.84751667	-62.94828333	LMG1920	black
12.5	-64.80213333	-64.31693333	LMG1921	black
13	-66.03786667	-65.60323333	LMG1922	black
14	-65.25841667	-65.25841667	LMG1923	black
